auctions,repetition,bandwidth_exponent,method,bandwidth,true_reserve,population_target,population_target_bias,reserve_estimate,reserve_error,standard_error,ci_lower,ci_upper,confidence_set_length,confidence_hull_length,confidence_set_components,covers_exact_reserve,covers_population_target,bias_point,bias_upper_bound,richardson_difference,richardson_difference_se,fine_bandwidth_roots,medium_bandwidth_roots,coarse_bandwidth_roots,chain_count,any_multiple_roots,any_missing_root
500,1,0.2,Richardson Wald,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.8140425251299229,0.042185817447802,0.0481204303390743,0.7197264816653373,0.9083585685945086,0.1886320869291713,0.1886320869291713,1,True,True,0.0025837043630168,0.0205970535946616,-0.0077511130890505,0.0275714529055788,1,1,1,1,False,False
500,1,0.2,Selected-root bias envelope,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.8140425251299229,0.042185817447802,0.0481204303390743,0.6991294280706756,0.9289556221891704,0.2298261941184947,0.2298261941184947,1,True,True,0.0025837043630168,0.0205970535946616,-0.0077511130890505,0.0275714529055788,1,1,1,1,False,False
500,1,0.2,Root-robust bias envelope,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.8140425251299229,0.042185817447802,0.0481204303390743,0.6991294280706756,0.9289556221891704,0.2298261941184947,0.2298261941184947,1,True,True,0.0025837043630168,0.0205970535946616,-0.0077511130890505,0.0275714529055788,1,1,1,1,False,False
500,1,0.35,Richardson Wald,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.8140425251299229,0.042185817447802,0.0481204303390743,0.7197264816653373,0.9083585685945086,0.1886320869291713,0.1886320869291713,1,True,True,0.0025837043630168,0.0205970535946616,-0.0077511130890505,0.0275714529055788,1,1,1,1,False,False
500,1,0.35,Selected-root bias envelope,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.8140425251299229,0.042185817447802,0.0481204303390743,0.6991294280706756,0.9289556221891704,0.2298261941184947,0.2298261941184947,1,True,True,0.0025837043630168,0.0205970535946616,-0.0077511130890505,0.0275714529055788,1,1,1,1,False,False
500,1,0.35,Root-robust bias envelope,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.8140425251299229,0.042185817447802,0.0481204303390743,0.6991294280706756,0.9289556221891704,0.2298261941184947,0.2298261941184947,1,True,True,0.0025837043630168,0.0205970535946616,-0.0077511130890505,0.0275714529055788,1,1,1,1,False,False
500,2,0.2,Richardson Wald,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7922137718469137,0.0203570641647927,0.0524755388578728,0.689361715685483,0.8950658280083443,0.2057041123228613,0.2057041123228613,1,True,True,0.0022306110571264,0.0236871739155604,0.0066918331713792,0.0328416778445418,1,1,1,1,False,False
500,2,0.2,Selected-root bias envelope,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7922137718469137,0.0203570641647927,0.0524755388578728,0.6656745417699226,0.9187530019239049,0.2530784601539821,0.2530784601539821,1,True,True,0.0022306110571264,0.0236871739155604,0.0066918331713792,0.0328416778445418,1,1,1,1,False,False
500,2,0.2,Root-robust bias envelope,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7922137718469137,0.0203570641647927,0.0524755388578728,0.6656745417699226,0.9187530019239049,0.2530784601539821,0.2530784601539821,1,True,True,0.0022306110571264,0.0236871739155604,0.0066918331713792,0.0328416778445418,1,1,1,1,False,False
500,2,0.35,Richardson Wald,0.15,0.7718567076821209,0.7987070733585381,0.0268503656764171,0.7922137718469137,0.0203570641647927,0.0524755388578728,0.689361715685483,0.8950658280083443,0.2057041123228613,0.2057041123228613,1,True,True,0.0022306110571264,0.0236871739155604,0.0066918331713792,0.0328416778445418,1,1,1,1,False,False
