auctions,repetition,bandwidth_rule,bandwidth_exponent,bandwidth,true_reserve,regularized_target,regularization_bias,reserve_estimate,reserve_error,regularized_error,standard_error,ci_lower,ci_upper,covers_exact_reserve,covers_regularized_target,score_at_estimate,score_jacobian,score_roots_on_grid
500,1,Fixed,0.0,0.15,0.7718567076821209,0.831833385726398,0.059976678044277,0.8360779981307529,0.064221290448632,0.0042446124043549,0.0328692638070304,0.7716542410689732,0.9005017551925326,True,True,-5.394463304156716e-06,-1.6526358570397408,1
500,1,$n^{-0.2}$,0.2,0.15,0.7718567076821209,0.831833385726398,0.059976678044277,0.8360779981307529,0.064221290448632,0.0042446124043549,0.0328692638070304,0.7716542410689732,0.9005017551925326,True,True,-5.394463304156716e-06,-1.6526358570397408,1
500,1,$n^{-0.35}$,0.35,0.15,0.7718567076821209,0.831833385726398,0.059976678044277,0.8360779981307529,0.064221290448632,0.0042446124043549,0.0328692638070304,0.7716542410689732,0.9005017551925326,True,True,-5.394463304156716e-06,-1.6526358570397408,1
500,1,$n^{-0.5}$,0.5,0.15,0.7718567076821209,0.831833385726398,0.059976678044277,0.8360779981307529,0.064221290448632,0.0042446124043549,0.0328692638070304,0.7716542410689732,0.9005017551925326,True,True,-5.394463304156716e-06,-1.6526358570397408,1
500,2,Fixed,0.0,0.15,0.7718567076821209,0.831833385726398,0.059976678044277,0.8216972926083015,0.0498405849261806,-0.0101360931180964,0.0343664184412449,0.7543391124634614,0.8890554727531416,True,True,-1.7902250261112583e-05,-1.8523140091545196,1
500,2,$n^{-0.2}$,0.2,0.15,0.7718567076821209,0.831833385726398,0.059976678044277,0.8216972926083015,0.0498405849261806,-0.0101360931180964,0.0343664184412449,0.7543391124634614,0.8890554727531416,True,True,-1.7902250261112583e-05,-1.8523140091545196,1
500,2,$n^{-0.35}$,0.35,0.15,0.7718567076821209,0.831833385726398,0.059976678044277,0.8216972926083015,0.0498405849261806,-0.0101360931180964,0.0343664184412449,0.7543391124634614,0.8890554727531416,True,True,-1.7902250261112583e-05,-1.8523140091545196,1
500,2,$n^{-0.5}$,0.5,0.15,0.7718567076821209,0.831833385726398,0.059976678044277,0.8216972926083015,0.0498405849261806,-0.0101360931180964,0.0343664184412449,0.7543391124634614,0.8890554727531416,True,True,-1.7902250261112583e-05,-1.8523140091545196,1
500,3,Fixed,0.0,0.15,0.7718567076821209,0.831833385726398,0.059976678044277,0.7814786912868447,0.0096219836047237,-0.0503546944395533,0.0201019457172387,0.7420788776810566,0.8208785048926327,True,False,-1.0194448389647448e-05,-1.6153007540924087,1
500,3,$n^{-0.2}$,0.2,0.15,0.7718567076821209,0.831833385726398,0.059976678044277,0.7814786912868447,0.0096219836047237,-0.0503546944395533,0.0201019457172387,0.7420788776810566,0.8208785048926327,True,False,-1.0194448389647448e-05,-1.6153007540924087,1
500,3,$n^{-0.35}$,0.35,0.15,0.7718567076821209,0.831833385726398,0.059976678044277,0.7814786912868447,0.0096219836047237,-0.0503546944395533,0.0201019457172387,0.7420788776810566,0.8208785048926327,True,False,-1.0194448389647448e-05,-1.6153007540924087,1
500,3,$n^{-0.5}$,0.5,0.15,0.7718567076821209,0.831833385726398,0.059976678044277,0.7814786912868447,0.0096219836047237,-0.0503546944395533,0.0201019457172387,0.7420788776810566,0.8208785048926327,True,False,-1.0194448389647448e-05,-1.6153007540924087,1
